KR6q0567	元潔瑩禪師語錄-清-淨瑩
KR6j0401	大乘瑜伽金剛性海曼殊室利千臂千鉢大教王經-唐-不空
KR2o0020	御批資治通鑑綱目-宋-朱熹
KR2o0021	御批資治通鑑綱目前編-元-金履祥
KR3k0029	羣書考索-宋-章如愚
KR5c0372	宮觀碑記-明-
KR1a0081	學易記-元-李簡
KR1a0085	易學變通-元-曾貫
KR5i0102	華蓋山三仙真經--
KR4c0009	張燕公集-唐-張說
KR5f0016	天原發微--鮑雲龍
KR6r0167	六道集-清-弘贊
KR6d0048	觀音義疏-隋-智顗
KR6o0120	起信論疏記會閱-清-續法
KR6q0231	即非禪師全錄-清-如一
KR4d0110	姑溪居士前集-宋-李之儀
KR5e0040	無上祕要--
KR3k0004	北堂書鈔-唐-虞世南
KR3j0021	習學記言-宋-葉適
KR6r0171	重編諸天傳-宋-行霆
KR6r0179	金剛經靈驗傳-日本-淨慧
KR3k0053	古儷府-明-王志慶
KR6g0004	大般涅槃經集解-梁-寶亮
KR6p0132	蓮修必讀-清-觀如
KR6r0148	鐔津文集-宋-契嵩
KR6e0071	華嚴經行願品疏鈔-唐-澄觀
KR6i0057	藥師三昧行法-明-受登
KR1a0031	原本周易本義-宋-朱熹
KR1a0032	別本周易本義-宋-朱熹
KR6p0069	淨慈要語-明-元賢
KR2b0019	續資治通鑑長編-宋-李燾
KR2k0023	至元嘉禾志-元-徐碩
KR4e0090	東里集-明-楊士奇
KR4f0025	曝書亭集-清-朱彝尊
KR6s0092	大周刊定眾經目錄-唐-明佺
KR5i0092	靈寶文檢--
KR6j0759	准提三昧行法-明-受登
KR6i0100	維摩經疏記-唐-湛然
KR1b0060	書義矜式-元-王充耘
KR1a0012	周易口義-宋-胡瑗
KR2b0038	御定資治通鑑綱目三編-清-張廷玉
KR2k0007	方輿勝覽-宋-祝穆
KR2n0026	寶刻類編-宋-闕名
KR6r0083	修西聞見錄-清-咫觀
KR6d0023	法華玄論-隋-吉藏
KR6d0026	妙法蓮華經玄贊-唐-窺基
KR6d0183	國清百錄-隋-灌頂
KR6k0243	在家律要廣集-明-智旭
KR6k0245	梵網經懺悔行法-明-智旭
KR1a0006	周易註-魏-王弼
KR1a0008	周易集解-唐-李鼎祚
KR6j0672	金剛頂經大瑜伽祕密心地法門義訣-唐-不空
KR5i0077	三寶萬靈法懺--
KR2k0017	赤城志-宋-陳耆卿
KR6r0185	居士傳-清-彭際清
KR1a0126	仲氏易-清-毛奇齡
KR1b0044	洪範明義-明-黃道周
KR1e0071	春秋胡傳附錄纂疏-元-汪克寬
KR1e0076	春秋正傳-明-湛若水
KR1a0077	大易緝說-元-王申子
KR1a0106	周易易簡說-明-高攀龍
KR1d0067	日講禮記解義-清-張廷玉
